epoch,fit_MeanAbsoluteError,fit_MeanAbsolutePercentageError,fit_MeanSquaredError,fit_MulticlassAveragePrecision,fit_loss,step,test_MeanAbsoluteError,test_MeanAbsolutePercentageError,test_MeanSquaredError,test_MulticlassAveragePrecision,test_loss,val_MeanAbsoluteError,val_MeanAbsolutePercentageError,val_MeanSquaredError,val_MulticlassAveragePrecision,val_loss
0,1.3171602487564087,948879.0,2.4474539756774902,0.8717020750045776,0.5911887884140015,31,,,,,,,,,,
0,,,,,,31,,,,,,1.4466768503189087,1063479.625,3.018782377243042,0.7692296504974365,0.6883745193481445
1,1.9891632795333862,1312041.625,5.040921211242676,0.9971753358840942,0.1355295032262802,63,,,,,,,,,,
1,,,,,,63,,,,,,1.7721501588821411,1212985.75,4.253381729125977,0.9531794190406799,0.33931469917297363
2,2.609985113143921,1570210.0,8.14175033569336,1.0,0.03104529157280922,95,,,,,,,,,,
2,,,,,,95,,,,,,2.238409996032715,1437597.75,6.841292858123779,0.9686861038208008,0.24710261821746826
3,3.00083589553833,1732319.75,10.46999740600586,1.0,0.0041842153295874596,127,,,,,,,,,,
3,,,,,,127,,,,,,2.414933681488037,1486225.75,7.351675033569336,0.9754211902618408,0.18281368911266327
4,3.1692962646484375,1806585.125,11.61601734161377,1.0,0.003643521573394537,159,,,,,,,,,,
4,,,,,,159,,,,,,2.5626614093780518,1547809.625,8.162431716918945,0.9783824682235718,0.17886167764663696
5,3.2179508209228516,1829284.5,12.119034767150879,1.0,0.003444987814873457,191,,,,,,,,,,
5,,,,,,191,,,,,,2.6772193908691406,1600040.625,8.935450553894043,0.9774680137634277,0.1688225269317627
6,3.420168399810791,1914024.0,13.771596908569336,1.0,0.001684592803940177,223,,,,,,,,,,
6,,,,,,223,,,,,,2.7283077239990234,1621634.0,9.29572868347168,0.9788755178451538,0.168421670794487
7,,,,,,224,,,,,,2.7283077239990234,1621634.0,9.29572868347168,0.9788755178451538,0.168421670794487
7,,,,,,224,2.7420859336853027,1629736.875,9.525773048400879,0.9932016730308533,0.12214943021535873,,,,,
